,mode,time,Ab,A,NT
4978,2,63,1225.790017719226,0.8637920393094244,4.275382387533984
4979,2,63,1115.244209664603,0.8724891123621951,6.4748799071941505
4980,2,63,1399.500177846113,0.9823491432877028,7.848534561386082
4981,2,63,11.798178026030422,0.011965673316120863,0.001116544762901706
4982,2,63,922.3580977756307,0.8045389094614234,4.342020108839721
4983,2,63,2.4543782791231483,0.00318243292264905,5.821310160062621e-05
4984,2,63,1204.4126747376836,0.9148851594535743,3.39689938798084
4985,2,63,330.2732020392616,0.2103600971343823,0.22313438178377965
4986,2,63,1875.9600131821242,0.9879643214209818,21.75485765825722
4987,2,63,1960.5534090790948,0.9773808488054555,7.951459113891165
4988,2,63,30.70120794217212,0.04504221928696348,0.004931753050539621
4989,2,63,770.4418221294333,0.8639587656900325,7.413360792059425
4990,2,63,263.4447750272497,0.2943250784543321,0.460090688959489
4991,2,63,329.48787326638586,0.26929729240997785,0.9130358484038967
4992,2,63,204.28954660920076,0.6019491317658101,1.160879191664795
4993,2,63,878.7596405534566,0.681620557166404,4.877244779382587
4994,2,63,1672.8932088195538,0.9709548633742853,15.565816345343372
4995,2,63,277.46125222770786,0.12933390806271666,0.20984616349823323
4996,2,63,1349.4318198349538,0.9435285410683553,4.409830109753394
4997,2,63,1377.25253188832,0.9748901065934239,12.985523103233575
4998,2,63,1183.1261368608555,0.8454541777652588,3.7156144195259655
4999,2,63,1351.021552507411,0.973401796765332,9.230990424437449
5000,2,63,893.8451706297417,0.6041691808737077,5.459236186489211
5001,2,63,1213.0390045638153,0.928261709585004,4.786908188960643
5002,2,63,0.7122629308271469,0.0007640736948404791,2.526272598116292e-06
5003,2,63,1089.0031216543632,0.7612390504390575,2.7728710698397228
5004,2,63,1508.8944445815314,0.9572644352049404,15.80509552978132
5005,2,63,928.2938711872774,0.7327587030935218,2.741752869963565
5006,2,63,1178.0025451403271,0.9651114979936594,5.047758039552231
5007,2,63,811.3990113346182,0.3524475168385161,1.9073361340732595
5008,2,63,416.91100224746856,0.4047697177042899,0.6809512197493702
5009,2,63,658.7440555269957,0.7680001035829231,4.444222208277332
5010,2,63,1334.1661283110077,0.9196177870812892,8.254828341805107
5011,2,63,325.47798788270836,0.5236243466089673,1.2269670762939253
5012,2,63,640.4602906103255,0.7694154382122681,2.902853521930305
5013,2,63,5.7395344890658855,0.006620044356097375,0.0003393033566040326
5014,2,63,1799.114656249788,0.9791506290826313,17.154917616616828
5015,2,63,1618.6049894837658,0.9962458650486766,14.452129344957394
5016,2,63,347.7331888056894,0.4626958541917595,1.177548125889237
5017,2,63,1806.20357891848,0.9855761746444036,13.206058656871562
5018,2,63,7.825957030366639,0.006735378980950869,0.0002189037738434463
5019,2,63,1451.8874287545077,0.9400809087924711,14.557281565419933
5020,2,63,1187.182013073209,0.9219015081391323,4.480524721520354
5021,2,63,1783.7217407036833,0.9634789676789264,5.18295023919752
5022,2,63,1323.9157803655798,0.934762756421104,9.144174175481934
5023,2,63,1557.6953600884913,0.9220094469339917,13.771311613700565
5024,2,63,1525.5504043618496,0.9742475746231632,12.67825733148557
5025,2,63,1202.841995591465,0.9686901931314945,4.276214056668695
5026,2,63,810.3300553451384,0.834171513745198,4.97852049311514
5027,2,63,74.94336242129563,0.10735709300178015,0.024575477755440986
5028,2,63,1643.326750579272,0.950997713646001,17.811209977912384
5029,2,63,1934.5699634077243,0.9918008921020547,16.910000526363287
5030,2,63,1815.8017083098903,0.9802274617182934,13.927324640123501
5031,2,63,1459.2454724942918,0.9448348872095471,8.016405078702647
5032,2,63,1449.919627764588,0.9953672030706932,4.589627180137709
5033,2,63,668.6820107108555,0.8740127496162232,3.713497324095332
5034,2,63,1483.4347556939206,0.9413306862543601,6.350249032306475
5035,2,63,1104.4159855564867,0.8605160340453044,3.3964732030117326
5036,2,63,11.549949851330691,0.013370682084968513,0.0007937084305842589
5037,2,63,544.0417489964817,0.5136919859218567,1.8698509780460033
5038,2,63,420.6347481213393,0.7019054861874064,2.8725547818469273
5039,2,63,1340.391350859236,0.9672973934779978,14.50399204400034
5040,2,63,1625.810049533339,0.9701437797623569,5.666780330161031
5041,2,63,1907.6423676214959,0.9943293688483741,10.905694074006396
5042,2,63,1661.1547442366289,0.9629236706211182,14.512996129507172
5043,2,63,1275.604452511553,0.8605949935893379,5.708663869724817
5044,2,63,1909.4452427649285,0.9950661430675684,12.355223996148215
5045,2,63,1610.7153471848533,0.9540172756696105,17.341783995757694
5046,2,63,18.38506716297951,0.024623146151212992,0.0027197935417299507
5047,2,63,127.95241696379736,0.1564240847869815,0.09770157131818306
5048,2,63,1354.371383079871,0.8958629328752564,5.743400571384687
5049,2,63,334.26773534136464,0.21967304956979974,0.706026419018032
5050,2,63,1399.174623583548,0.9252681722897906,5.12175341733229
5051,2,63,1027.619754727307,0.9629212655538139,3.0585437170626335
5052,2,63,802.5559549412131,0.8214916774911746,5.611386468873228
5053,2,63,237.78332607706977,0.29962156572239146,0.2321789422604661
5054,2,63,1301.1827696249218,0.9176301780576958,5.89780887642042
5055,2,63,1350.9920346927026,0.929643171544945,11.26298708642262
5056,2,63,19.527050502344416,0.007979297792040168,0.0007183607010479949
5057,2,63,1406.597016546114,0.9678028116867453,5.858864820772982
5058,2,63,1433.0312470092074,0.9514706103061887,5.193113874037665
5059,2,63,1644.660779112978,0.9991765117028581,5.735963965222698
5060,2,63,1582.3214928858247,0.9549565663645776,10.765094126271787
5061,2,63,1857.0419253298448,0.9812264759218342,6.06537803665385
5062,2,63,1127.0232751569847,0.7781786151315663,7.333191361530475
5063,2,63,1552.9269481533884,0.9276960461729192,16.843336903936294
5064,2,63,1178.1204970990382,0.8400730528614743,7.348812853092459
5065,2,63,1164.8057646824527,0.8687057082533057,7.03243431700673
5066,2,63,1639.611782446119,0.9690727491108663,17.254662015208215
5067,2,63,1422.254049354937,0.9885315754184301,5.245276913717466
5068,2,63,1045.2112239597766,0.8596154660180193,4.440143206033381
5069,2,63,26.21766739673341,0.03906920648416045,0.004380902470891225
5070,2,63,1337.6722933206668,0.9848655461205286,9.954163250879896
5071,2,63,102.0107046566769,0.11115785317343162,0.06374645709001234
5072,2,63,1174.6075064824472,0.984026328288819,5.979411584127037
5073,2,63,2111.4083759747223,0.9919392338787137,8.928967741962916
5074,2,63,1355.2860837605774,0.9830502748970881,6.246439463296533
5075,2,63,1384.2278542086838,0.9670622941493915,10.239662307789333
5076,2,63,609.5162144880321,0.8039482507114306,4.048672021913229
5077,2,63,0.5188472458175707,0.0005163164569093499,2.237950829979349e-06
5078,2,63,1315.8357783277577,0.9666131504489968,4.785537820743761
5079,2,63,7.910383057491311,0.009924482253629767,0.0003036673241514079
5080,2,63,858.3909875634837,0.8705564171223026,6.382330914444367
5081,2,63,1425.6120159409131,0.9556645597058552,5.5139972884155615
5082,2,63,1160.7146794505097,0.8167800213548361,6.224624121043851
5083,2,63,1238.8662716075753,0.7312741179858698,7.481868576606371
5084,2,63,1390.2708859910238,0.9762433984082917,7.046878847555803
5085,2,63,1551.8495737628702,0.9544364794664917,12.472783006613108
5086,2,63,11.938105646466507,0.01622758821374126,0.001934964031797771
5087,2,63,0.5927663622771572,0.0008213301582888908,2.3020676226130575e-06
5088,2,63,1163.2845307124726,0.9293292627341677,6.879810372192561
5089,2,63,856.3219724768594,0.7190185147420608,2.06942025377532
5090,2,63,1495.4068913518274,0.9826659258533958,8.352321377675441
5091,2,63,825.744944542298,0.6812305170177239,2.3581564131653416
5092,2,63,1.0747249125800002,0.0008964163920464226,5.93529375208012e-06
5093,2,63,1460.844208465078,0.9569321797629222,9.221220316004633
5094,2,63,1956.7155709351234,0.987597957294489,9.80641361901533
5095,2,63,2013.3037971258038,0.9872289240833143,8.2294621038354
5096,2,63,7.629564795997187,0.009065276015924694,0.0005841225507799996
5097,2,63,1414.171381716405,0.9777501625359738,4.217012917538177
5098,2,63,1219.194765983339,0.8773316142600602,8.262791584479357
5099,2,63,220.1995946898621,0.25726782669043635,0.5271432087779033
5100,2,63,21.218534785573798,0.027811713713365393,0.0017961993549145475
5101,2,63,234.25193667674097,0.1628454741091736,0.11682688087133579
5102,2,63,2.901723050899794,0.0022382361371741794,1.9855760000623045e-05
5103,2,63,1736.6173683850996,0.9843323777311671,5.268184292542948
5104,2,63,1160.0948538341095,0.6911033135618309,5.200524749604288
5105,2,63,100.44784972221879,0.058379149819774365,0.02429903322750231
5106,2,63,1464.5284001927052,0.9772467532070327,4.646669994659681
5107,2,63,1464.949771830037,0.9799861098903189,4.888451110142323
5108,2,63,532.5741247899505,0.3969312146565237,1.3644985270581187
5109,2,63,594.687661714028,0.7512105617781555,4.130740956481144
5110,2,63,1887.579596083722,0.9758614276923144,8.444468040390495
5111,2,63,1583.2602888629103,0.9948208597971737,9.962054503949396
5112,2,63,944.4601508542202,0.8056959104122422,8.575054158995385
5113,2,63,1841.7621813861117,0.9921914302043207,8.490879712472866
5114,2,63,1232.7618597424419,0.8457964406211661,11.027816678395057
5115,2,63,123.65473132722904,0.13205704418760478,0.07463310679358254
5116,2,63,541.6997114154076,0.7377773686174558,2.172602775358225
5117,2,63,1899.3254170665818,0.9937097330256023,16.938678301857017
5118,2,63,44.458121300682585,0.052324516026207066,0.01178979719915698
5119,2,63,265.55779238099774,0.6262147208523327,0.5354399183451585
5120,2,63,1325.8242086203766,0.9592414622008079,5.343245355709893
5121,2,63,700.3644974971346,0.6130746782351219,4.829915585931021
5122,2,63,1366.89914408482,0.9705733532766153,10.762262021394625
5123,2,63,487.7110427187388,0.4746406014152977,1.406914715070569
5124,2,63,1312.175680635299,0.9751128805470168,6.402926927028065
5125,2,63,1959.192425284773,0.9962714156140748,13.429384234390808
5126,2,63,1070.7519682646328,0.9053716770235956,6.756535042409591
5127,2,63,52.239361600968834,0.04550086012230271,0.010192727534421481
5128,2,63,1696.9203131062168,0.9801876245004262,5.599510758004295
5129,2,63,1595.756709738768,0.9478183584868093,11.353113754225358
5130,2,63,1609.4966327554653,0.971742892858877,5.706801688301629
5131,2,63,55.0203906450333,0.060335779513208,0.012903653142792713
5132,2,63,1484.8236692651408,0.9876990358195401,4.923752234463011
5133,2,63,955.2611683490578,0.9076689326199185,3.773838797693343
5134,2,63,1171.9136753012729,0.7976045230892401,9.132101796232892
5135,2,63,1300.9555652197234,0.9472897352029345,4.933481100298527
5136,2,63,253.06958978839754,0.3045734652545315,0.31210116686953
5137,2,63,0.22231275255848695,7.851369079927705e-05,8.723828234756527e-08
5138,2,63,1738.1889849722402,0.964898778760034,6.818250263375163
5139,2,63,1542.769024616492,0.9280982852891638,6.864816898791226
5140,2,63,1448.2437454598985,0.975004325506479,4.798510483174961
5141,2,63,2.8889040144325486,0.0006881310131945479,1.9538493722854583e-05
5142,2,63,1493.8667299071017,0.9922679434081519,5.1689038305364035
5143,2,63,1025.4929190287264,0.7808572509489097,4.976233182669557
5144,2,63,1673.779202430714,0.935154372060611,11.985595278145432
5145,2,63,1428.4260870447479,0.9683197970735026,6.070811031967943
5146,2,63,0.29424462930345,0.00039528700017881966,9.865323110709104e-07
5147,2,63,0.5793807815811679,0.0006709092066069693,2.190874397937139e-06
5148,2,63,1890.923110666582,0.9770799861354902,13.195864101342737
5149,2,63,877.8082532613947,0.776666965535619,2.3604840972019105
5150,2,63,1326.1790156399486,0.9613532467795802,9.864886502048208
5151,2,63,91.07109417265156,0.1415621229584799,0.10157163830966857
5152,2,63,1868.4298660286554,0.9768735261619208,14.835885347779364
5153,2,63,1195.5284640655377,0.8753888523228309,9.653606670730518
5154,2,63,1090.8783589500304,0.9088507703155522,7.729591439979229
5155,2,63,1305.229819995385,0.8775862665525367,7.303318553674339
5156,2,63,1223.9977515986302,0.8869382091165849,3.2576559184932754
5157,2,63,1795.4707834874537,0.9804675739279024,6.949361342364592
5158,2,63,2.914580584831565,0.0011721493266151465,3.2568105074090065e-05
5159,2,63,1354.8109336563755,0.9631835391819312,11.084429925004045
5160,2,63,1384.5475694849629,0.8412870230177154,8.84848059042812
5161,2,63,822.8191859170616,0.5028596757214049,1.7065468536839035
5162,2,63,1147.4847265684293,0.757572006864981,4.0153485838607
5163,2,63,2124.602936928315,0.994950700511695,7.357086210149123
5164,2,63,1090.1364173685724,0.9150860669621936,5.860404665132195
5165,2,63,676.0302775740754,0.4537301470323889,3.0879177194713314
5166,2,63,1489.1637360636914,0.9925396789806525,15.971426526116408
5167,2,63,1362.902687667494,0.9587155841875685,12.706663141615904
5168,2,63,1412.360867379558,0.9445649659477546,11.129274820273388
5169,2,63,1677.0086536231966,0.986239341480825,7.163908581144578
5170,2,63,1990.3670969856062,0.9869969521158866,10.345230802027514
5171,2,63,640.5385680523666,0.5782006433332246,2.347932027999011
5172,2,63,1398.0050372839967,0.977625187563967,13.7944746940813
5173,2,63,1511.4292651774144,0.9693394356713961,10.977223448351872
5174,2,63,1199.7062394394143,0.9068584865267546,8.675600777748825
5175,2,63,21.35135392192079,0.018003201358267423,0.001268056891611003
5176,2,63,10.473261504692415,0.01292174301341667,0.0010624589093887191
5177,2,63,31.431441192446798,0.04333211830280234,0.010815338610964377
5178,2,63,18.22122783206392,0.012689607989013169,0.00169817891451893
5179,2,63,0.11520919407011053,0.00011917428028703351,1.0013546905784619e-07
5180,2,63,1118.5044928920508,0.8524224055362493,11.369953363731417
5181,2,63,2037.718721034443,0.9954196159406206,10.287593224909257
5182,2,63,1239.5032988960545,0.9733481063595302,13.22437212929334
5183,2,63,1206.0869729178012,0.9054579230969247,3.3944960884621564
5184,2,63,120.12714785127766,0.07804250900195535,0.08553230515212795
5185,2,63,13.482015617614742,0.01590222565210653,0.001988673068793492
5186,2,70,1525.3949718819756,0.9835582154048534,9.805973494576746
5187,2,70,1426.57916571406,0.9881790227259217,14.066915793210045
5188,2,70,1019.456044209147,0.7650448500851487,4.465868158323296
5189,2,70,858.9019694065312,0.9329452101751445,3.278781430608433
5190,2,70,971.7381065295225,0.7771068291368348,5.549219610706503
5191,2,70,1521.6522662495074,0.9807194131090011,15.814989981754668
5192,2,70,25.948729643121066,0.01994796521659696,0.001902057913901
5193,2,70,1766.7297186930375,0.9729639301857865,19.13956555359536
5194,2,70,1476.232321164819,0.9656774559404028,11.076676538476946
5195,2,70,1510.5936063003132,0.9758289109822414,14.624256600850078
5196,2,70,1367.6506177932486,0.9865332131408026,5.248768906624882
5197,2,70,0.34086326439231307,0.000321676691792029,9.542694431661835e-07
5198,2,70,1597.0469363216619,0.9247303797717541,5.63570592314209
